,IDfg,Name,Team,G,PA,OPS,Dol,Spd,Off,WAR,wRC+,Def,BsR
12,16478,Kyle Schwarber,- - -,113,471,0.928,$24.5,2.1,24.8,3.1,145,-10.0,-1.6
101,13757,Chris Taylor,LAD,148,582,0.782,$24.6,6.4,16.5,3.1,113,-5.0,6.5
201,15491,J.P. Crawford,SEA,160,687,0.715,$25.0,2.5,-0.2,3.1,103,8.1,-2.7
31,9256,A.J. Pollock,LAD,117,422,0.892,$23.9,4.4,20.7,3.0,137,-4.9,0.6
54,19251,Pete Alonso,NYM,152,637,0.863,$24.0,3.5,21.6,3.0,133,-12.7,-5.1
117,6153,Eduardo Escobar,- - -,146,599,0.786,$23.9,3.6,5.4,3.0,107,4.6,0.4
19,13613,Ketel Marte,ARI,90,374,0.909,$23.2,3.3,18.2,2.9,139,-1.7,-0.4
48,6184,J.D. Martinez,BOS,148,634,0.867,$22.9,2.6,18.4,2.9,128,-11.4,-3.1
64,15676,Jose Abreu,CHW,152,659,0.831,$22.9,2.8,16.7,2.9,126,-10.5,-4.5
82,5760,Avisail Garcia,MIL,135,515,0.82,$23.4,3.4,9.1,2.9,115,3.1,-0.5
108,12532,Kolten Wong,MIL,116,492,0.783,$23.5,5.3,6.8,2.9,109,6.3,1.4
147,10059,Max Stassi,LAA,87,319,0.752,$23.3,2.9,1.2,2.9,107,17.1,-1.4
199,19287,Adolis Garcia,TEX,149,622,0.741,$22.8,5.1,-1.7,2.9,100,9.1,-1.4
59,18607,Jared Walsh,LAA,144,585,0.85,$22.0,2.5,18.4,2.8,127,-10.8,-1.1
96,14274,Mitch Haniger,SEA,157,691,0.804,$22.6,3.5,15.9,2.8,120,-11.2,-1.4
111,20126,Dylan Carlson,STL,149,619,0.78,$22.1,4.0,10.6,2.8,113,-3.5,0.1
163,13338,Omar Narvaez,MIL,123,445,0.743,$22.5,1.5,-2.9,2.8,99,16.3,-2.5
210,7802,Miguel Rojas,MIA,132,539,0.713,$22.3,5.4,-0.2,2.8,97,10.3,1.5
70,14894,Tony Kemp,OAK,131,397,0.8,$21.7,5.4,17.2,2.7,127,-3.6,3.8
95,16622,Luis Urias,MIL,150,570,0.789,$21.4,3.8,7.3,2.7,111,0.5,-0.7
104,5254,Robbie Grossman,DET,156,671,0.772,$21.5,5.2,13.5,2.7,114,-9.5,2.0
186,12916,Francisco Lindor,NYM,125,524,0.734,$21.3,5.3,4.1,2.7,103,5.2,2.0
191,15518,Amed Rosario,CLE,141,588,0.731,$21.5,6.6,0.6,2.7,99,6.3,1.2
37,4949,Giancarlo Stanton,NYY,139,579,0.87,$21.0,0.6,19.0,2.6,137,-12.4,-7.0
124,11445,Mark Canha,OAK,141,625,0.746,$20.7,6.1,13.6,2.6,115,-9.0,2.0
185,13853,Joey Wendle,TBR,136,501,0.741,$20.9,5.6,3.3,2.6,106,5.7,-0.2
207,13723,Jacob Stallings,PIT,112,427,0.704,$20.6,1.4,-4.8,2.6,95,16.4,-1.9
20,9929,Darin Ruf,SFG,117,312,0.904,$20.2,4.1,16.5,2.5,144,-1.6,-1.0
76,23667,Wander Franco,TBR,70,308,0.81,$20.0,6.0,13.1,2.5,127,1.4,3.1
103,5933,Jean Segura,PHI,131,567,0.784,$19.8,4.8,5.4,2.5,109,0.5,-1.2
119,15112,Ryan McMahon,COL,151,596,0.779,$20.3,3.8,-5.4,2.5,95,11.0,-1.6
223,9785,Kyle Seager,SEA,159,670,0.723,$19.7,2.8,-3.0,2.5,99,4.9,-1.9
215,11038,Kevin Kiermaier,TBR,122,390,0.716,$19.8,6.8,2.8,2.5,101,8.8,2.2
24,12856,George Springer,TOR,78,342,0.907,$19.3,4.7,15.6,2.4,140,-3.1,-1.2
158,10950,Adam Duvall,- - -,146,555,0.772,$19.1,4.2,0.0,2.4,103,5.4,-2.4
138,19363,Austin Hays,BAL,131,529,0.769,$18.8,4.8,3.8,2.4,106,1.7,-0.3
194,9874,DJ LeMahieu,NYY,150,679,0.711,$19.5,3.0,-1.8,2.4,100,3.1,-1.7
22,12546,C.J. Cron,COL,142,547,0.905,$18.7,2.3,15.6,2.3,127,-10.3,-3.2
46,16472,Rhys Hoskins,PHI,107,443,0.864,$18.7,2.8,13.6,2.3,127,-4.9,-1.5
79,13602,Patrick Wisdom,CHC,106,375,0.823,$18.0,3.5,6.6,2.3,115,3.5,-0.6
253,19470,Tommy Edman,STL,159,691,0.695,$18.7,6.3,-0.3,2.3,91,0.8,8.0
278,16512,Isiah Kiner-Falefa,TEX,158,677,0.67,$18.3,5.2,-8.2,2.3,85,8.1,4.2
67,5038,Josh Donaldson,MIN,135,543,0.827,$17.5,1.3,12.0,2.2,124,-8.5,-4.3
88,19997,Santiago Espinal,TOR,92,246,0.781,$17.4,5.0,6.8,2.2,115,6.6,2.3
150,14854,Mike Yastrzemski,SFG,139,532,0.768,$18.0,5.0,8.0,2.2,106,-3.1,3.9
248,10556,Cesar Hernandez,- - -,149,637,0.694,$17.6,3.1,-6.8,2.2,90,7.0,0.8
7,15351,Frank Schwindel,- - -,64,259,0.962,$16.5,4.0,16.4,2.1,152,-4.4,-0.9
36,15161,Mitch Garver,MIN,68,243,0.875,$16.9,1.7,11.0,2.1,137,1.9,-0.1
78,4106,Michael Brantley,HOU,121,508,0.799,$16.9,3.4,13.0,2.1,123,-9.1,-1.2
106,11609,Willson Contreras,CHC,128,483,0.778,$16.9,2.9,1.8,2.1,109,3.2,-3.7
143,17719,Steven Duggar,SFG,107,297,0.767,$17.0,7.7,6.3,2.1,107,5.1,3.7
140,17901,Andrew Benintendi,KCR,134,538,0.766,$17.0,3.6,3.9,2.1,106,-0.9,-0.1
142,17128,Ramon Laureano,OAK,88,378,0.76,$17.0,5.4,5.4,2.1,111,3.0,0.1
171,18564,Trent Grisham,SDP,132,527,0.74,$16.6,5.1,4.0,2.1,103,-0.7,2.0
