IDfg,Name,Team,G,PA,AVG,OBP,SLG,OPS,wRC+,WAR,Barrel%,HardHit%,GB%,FB%,HR/FB
16997,Gleyber Torres,NYY,127,516,0.259,0.331,0.366,0.697,94,1.7,7.8,35.7,41.5,36.2,0.069
10323,Rafael Ortega,CHC,103,330,0.291,0.36,0.463,0.823,120,1.6,5.7,34.6,33.6,41.3,0.12
16219,J.D. Davis,NYM,73,211,0.285,0.384,0.436,0.82,130,1.6,12.4,42.5,38.9,30.099999999999998,0.147
18126,LaMonte Wade Jr.,SFG,109,381,0.253,0.326,0.482,0.808,117,1.6,10.6,41.3,32.5,44.2,0.16399999999999998
17907,Brendan Rodgers,COL,102,415,0.284,0.328,0.47,0.798,100,1.6,6.2,40.3,50.8,29.2,0.16899999999999998
3473,Anthony Rizzo,- - -,141,576,0.248,0.344,0.44,0.783,112,1.6,7.7,40.8,40.9,39.7,0.134
18795,Ramon Urias,BAL,85,296,0.279,0.361,0.412,0.774,115,1.6,9.7,42.5,49.7,25.900000000000002,0.146
11680,Elias Diaz,COL,106,371,0.246,0.31,0.464,0.774,92,1.6,7.9,36.9,40.9,40.1,0.161
19566,Nathaniel Lowe,TEX,157,642,0.264,0.357,0.415,0.771,115,1.6,9.5,45.5,54.50000000000001,27.399999999999995,0.165
17022,Edmundo Sosa,STL,113,326,0.271,0.346,0.389,0.735,104,1.6,3.9,31.4,51.800000000000004,27.399999999999995,0.09699999999999999
14813,Kyle Farmer,CIN,147,529,0.263,0.316,0.416,0.732,91,1.6,4.3,32.1,41.2,35.3,0.11599999999999999
20454,Jazz Chisholm Jr.,MIA,124,507,0.248,0.303,0.425,0.728,98,1.6,8.6,41.7,48.6,31.0,0.182
9627,Yan Gomes,- - -,103,375,0.252,0.301,0.421,0.723,93,1.6,8.8,37.9,38.6,36.0,0.14300000000000002
6609,Freddy Galvis,- - -,104,394,0.242,0.302,0.407,0.709,90,1.6,4.9,31.6,39.1,41.2,0.122
18015,Paul DeJong,STL,113,402,0.197,0.284,0.39,0.674,86,1.6,10.6,35.3,37.6,46.7,0.16
19238,Lourdes Gurriel Jr.,TOR,141,541,0.276,0.319,0.466,0.785,107,1.5,9.6,42.7,45.2,34.0,0.153
13675,Tyrone Taylor,MIL,93,271,0.247,0.321,0.457,0.778,106,1.5,7.6,37.3,41.1,43.2,0.15
7859,Charlie Blackmon,COL,150,582,0.27,0.351,0.411,0.761,94,1.5,7.000000000000001,38.3,47.2,30.8,0.099
11265,Jonathan Schoop,DET,156,674,0.278,0.32,0.435,0.755,105,1.5,6.800000000000001,40.2,48.0,32.7,0.135
8202,Josh Harrison,- - -,138,558,0.279,0.341,0.4,0.741,103,1.5,4.4,32.3,39.4,36.8,0.05
13836,Matt Duffy,CHC,97,322,0.287,0.357,0.381,0.738,102,1.5,4.0,34.8,48.4,25.3,0.08800000000000001
11477,Christian Yelich,MIL,117,475,0.248,0.362,0.373,0.736,101,1.5,7.6,48.4,54.400000000000006,23.7,0.132
2829,Manny Pina,MIL,75,208,0.189,0.293,0.439,0.732,95,1.5,10.5,32.2,38.5,47.6,0.191
11442,Gary Sanchez,NYY,117,440,0.204,0.307,0.423,0.73,99,1.5,13.699999999999998,42.0,36.3,46.2,0.19
2967,Tommy Pham,SDP,155,561,0.229,0.34,0.383,0.724,102,1.5,10.0,46.7,48.1,31.6,0.135
18577,Ke'Bryan Hayes,PIT,96,396,0.257,0.316,0.373,0.689,88,1.5,5.1,45.1,56.7,25.3,0.086
16572,Connor Joe,COL,63,211,0.285,0.379,0.469,0.848,116,1.4,9.9,39.0,33.3,38.3,0.14800000000000002
13145,Josh Bell,WSN,144,568,0.261,0.347,0.476,0.823,118,1.4,8.8,51.5,53.5,26.5,0.255
13359,Tyler Naquin,CIN,127,454,0.27,0.333,0.477,0.809,110,1.4,10.4,41.6,46.7,32.5,0.19399999999999998
18373,Ryan Mountcastle,BAL,144,586,0.255,0.309,0.487,0.796,111,1.4,11.8,39.7,35.3,42.6,0.204
16535,Danny Jansen,TOR,70,205,0.223,0.299,0.473,0.772,105,1.4,8.5,43.3,30.7,45.0,0.175
10047,Wil Myers,SDP,146,500,0.256,0.334,0.434,0.768,109,1.4,7.5,37.7,44.8,37.5,0.152
16403,Francisco Mejia,TBR,84,277,0.26,0.322,0.416,0.738,108,1.4,4.4,28.4,41.3,42.3,0.071
14712,Manuel Margot,TBR,125,464,0.254,0.313,0.382,0.696,95,1.4,5.1,40.2,46.3,35.5,0.08
9927,Brett Gardner,NYY,140,461,0.222,0.327,0.362,0.689,93,1.4,3.4000000000000004,32.9,45.2,37.0,0.09300000000000001
14566,Franmil Reyes,CLE,115,466,0.254,0.324,0.522,0.846,125,1.3,16.9,48.5,46.3,36.0,0.306
20521,Nick Madrigal,CHW,54,215,0.305,0.349,0.425,0.774,113,1.3,1.1,22.8,59.9,19.8,0.055999999999999994
17919,Ian Happ,CHC,148,535,0.226,0.323,0.434,0.757,103,1.3,11.2,41.0,46.0,33.3,0.243
18289,Brian Anderson,MIA,67,264,0.249,0.337,0.378,0.715,99,1.3,7.7,38.1,48.8,36.3,0.115
15674,Reese McGuire,TOR,78,217,0.253,0.31,0.343,0.654,78,1.3,2.6,32.1,40.1,36.2,0.018000000000000002
11342,Jesus Aguilar,MIA,131,510,0.261,0.329,0.459,0.788,112,1.2,8.4,40.5,33.1,46.6,0.13
5827,Wilmer Flores,SFG,139,436,0.262,0.335,0.447,0.782,113,1.2,6.0,35.4,37.5,41.1,0.13
